"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EVAP","MNPN","MXPN","PRCP","TAVG","TMAX","TMIN","TOBS"
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-24",,,,"0.14",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-25",,,,"0.17",,,,
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-08-15",,,,,"82","94","68",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-08-16",,,,,"81","91","69",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-08-17",,,,,"72","77","70",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-08-18",,,,,"79","90","70",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-08-19",,,,,"83","98","72",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-08-20",,,,,"84","97","72",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-08-21",,,,,"79","89","71",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-08-22",,,,,"80","90","70",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-08-23",,,,,"80","92","69",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-08-24",,,,,"83","96","73",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-08-25",,,,,"81","92","72",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-08-26",,,,,"80","90","69",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-08-27",,,,,"80","92","69",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-08-28",,,,,"78","90","68",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-08-29",,,,,"79","92","67",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-08-30",,,,,"78","89","67",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-08-31",,,,,"77","89","65",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-01",,,,,"77","90","65",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-02",,,,,"76","89","64",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-03",,,,,"73","87","59",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-04",,,,,"72","85","65",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-05",,,,,"77","90","65",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-06",,,,,"82","97","73",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-07",,,,,"83","96","71",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-08",,,,,"80","93","69",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-09",,,,,"78","92","70",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-10",,,,,"74","89","67",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-11",,,,,"64","71","59",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-12",,,,,"69","78","62",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-13",,,,,"75","89","62",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-14",,,,,"77","89","65",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-15",,,,,"76","86","65",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-16",,,,,"75","87","63",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-17",,,,,"74","87","67",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-18",,,,,"78","90","66",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-19",,,,,"76","87","68",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-20",,,,,"75","86","67",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-21",,,,,"77","91","64",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-22",,,,,"78","91","66",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-23",,,,,"76","89","64",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-24",,,,,"76","89","66",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-25",,,,,"76","89","67",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-26",,,,,"75","88","61",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-27",,,,,"78","93","64",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-28",,,,,"76","87","66",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-29",,,,,"76","87","67",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-09-30",,,,,"77","89","67",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-01",,,,,"76","89","68",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-02",,,,,"79","94","68",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-03",,,,,"78","95","64",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-04",,,,,"80","94","69",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-05",,,,,"78","92","66",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-06",,,,,"76","90","63",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-07",,,,,"76","88","65",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-08",,,,,"73","86","59",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-09",,,,,"71","80","64",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-10",,,,,"72","85","59",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-11",,,,,"73","89","63",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-12",,,,,"74","88","62",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-13",,,,,"76","90","65",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-14",,,,,"72","87","58",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-15",,,,,"63","76","50",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-16",,,,,"67","83","54",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-17",,,,,"73","81","64",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-18",,,,,"66","80","50",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-19",,,,,"65","84","44",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-20",,,,,"73","94","50",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-21",,,,,"72","92","51",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-22",,,,,"49","62","35",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-23",,,,,"54","74","32",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-24",,,,,"61","79","46",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-25",,,,,"59","78","41",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-26",,,,,"63","82","45",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-27",,,,,"61","76","47",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-28",,,,,"58","73","39",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-29",,,,,"60","77","42",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-30",,,,,"62","81","45",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-10-31",,,,,"61","76","47",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-01",,,,,"51","66","35",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-02",,,,,"61","82","41",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-03",,,,,"58","73","44",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-04",,,,,"64","81","49",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-05",,,,,"69","89","53",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-06",,,,,"50","58","42",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-07",,,,,"55","74","39",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-08",,,,,"64","86","47",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-09",,,,,"64","85","47",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-10",,,,,"65","80","52",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-11",,,,,"66","76","59",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-12",,,,,"65","80","53",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-13",,,,,"63","75","49",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-14",,,,,"58","68","47",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-15",,,,,"46","57","30",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-16",,,,,"54","68","44",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-17",,,,,"59","78","43",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-18",,,,,"61","81","42",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-19",,,,,"62","82","47",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-20",,,,,"63","81","50",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-21",,,,,"48","57","38",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-22",,,,,"30","36","28",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-23",,,,,"35","42","29",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-24",,,,,"33","36","31",
"USR0000TMID","MIDLAND TEXAS, TX US","32.0","-102.0","854.0","2007-11-25",,,,,"33","37","31",
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-08-17",,,,"2.70",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-08-18",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-08-19",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-08-20",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-08-21",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-08-22",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-08-23",,,,"0.39",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-08-24",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-08-25",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-08-26",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-08-27",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-08-28",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-08-29",,,,"0.31",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-08-30",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-08-31",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-01",,,,"0.12",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-02",,,,"0.08",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-03",,,,"0.26",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-04",,,,"0.18",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-05",,,,"0.28",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-06",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-07",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-08",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-09",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-10",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-11",,,,"0.10",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-12",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-13",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-14",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-15",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-16",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-17",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-18",,,,"0.73",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-19",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-20",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-21",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-22",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-23",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-24",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-25",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-26",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-27",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-28",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-29",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-09-30",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-01",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-02",,,,"0.38",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-03",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-04",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-05",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-06",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-07",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-08",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-09",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-10",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-11",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-12",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-13",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-14",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-15",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-16",,,,"0.37",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-17",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-18",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-19",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-20",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-21",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-22",,,,"0.52",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-23",,,,"0.48",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-24",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-25",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-26",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-27",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-28",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-29",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-30",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-10-31",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-01",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-02",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-03",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-04",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-05",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-06",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-07",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-08",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-09",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-10",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-11",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-12",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-13",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-14",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-15",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-16",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-17",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-18",,,,"0.50",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-19",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-20",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-21",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-22",,,,"0.00",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-23",,,,"0.30",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-24",,,,"0.76",,,,
"US1TXAT0001","POTEET 4.1 ENE, TX US","29.065423","-98.515984","146.0","2007-11-25",,,,"0.13",,,,
"USC00419076","TOMBALL, TX US","30.1004","-95.6114","64.0","2007-08-15",,,,"0.29",,,,
"USC00419076","TOMBALL, TX US","30.1004","-95.6114","64.0","2007-08-16",,,,"0.30",,,,
"USC00419076","TOMBALL, TX US","30.1004","-95.6114","64.0","2007-08-17",,,,"0.58",,,,
"USC00419076","TOMBALL, TX US","30.1004","-95.6114","64.0","2007-08-18",,,,"0.37",,,,
"USC00419076","TOMBALL, TX US","30.1004","-95.6114","64.0","2007-08-19",,,,"0.08",,,,
